삭제,bsn_tp,crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt
1,E003,E,도움,A00450728,자산양수ㆍ도종료보고서,20070821000121,도움,20070821
1,E003,E,케이이엔지,A00451268,자산양수ㆍ도종료보고서,20051104000272,케이이엔지,20051105
1,E003,E,케이이엔지,A00451268,자산양수ㆍ도종료보고서,20080924000133,케이이엔지,20080924
1,E003,E,제너시스템즈,A00453752,합병등종료보고서(자산양수도),20091001000235,제너시스템즈,20091001
1,E003,E,제너시스템즈,A00453752,합병등종료보고서(자산양수도),20091015000270,제너시스템즈,20091015
,E003,Y,삼천리,A004690,합병등종료보고서(자산양수도),20091201000210,삼천리,20091201
,E003,Y,한솔테크닉스,A004710,영업양수ㆍ도종료보고서,20070531000115,한솔테크닉스,20070531
1,E003,E,지비에스,A00471989,자산양수ㆍ도종료보고서,20051222000151,지비에스,20051222
1,E003,E,지비에스,A00471989,자산양수ㆍ도종료보고서,20060411001060,지비에스,20060411
,E003,Y,우리들제약,A004720,자산양수ㆍ도종료보고서,20060206000145,우리들제약,20060206
1,E003,E,테이크시스템즈,A00475532,자산양수ㆍ도종료보고서,20051221000316,테이크시스템즈,20051222
1,E003,E,테이크시스템즈,A00475532,자산양수ㆍ도종료보고서,20070509000548,테이크시스템즈,20070509
1,E003,E,테이크시스템즈,A00475532,자산양수ㆍ도종료보고서,20071029000054,테이크시스템즈,20071029
1,E003,E,테이크시스템즈,A00475532,자산양수ㆍ도종료보고서,20090721000133,테이크시스템즈,20090721
1,E003,E,하이럭스,A00480844,자산양수ㆍ도종료보고서,20060213000293,하이럭스,20060213
1,E003,E,하이럭스,A00480844,자산양수ㆍ도종료보고서,20060828000085,하이럭스,20060828
1,E003,E,하이럭스,A00480844,자산양수ㆍ도종료보고서,20080423000333,하이럭스,20080423
1,E003,E,영찬테크,A00480905,자산양수ㆍ도종료보고서,20080820000250,영찬테크,20080821
1,E003,E,영찬테크,A00480905,합병등종료보고서(자산양수도),20091201000289,영찬테크,20091201
1,E003,E,넥스피안,A00481223,자산양수ㆍ도종료보고서,20060321000221,넥스피안,20060321
1,E003,E,넥스피안,A00481223,자산양수ㆍ도종료보고서,20080528000015,넥스피안,20080528
,E003,Y,덕성,A004830,[기재정정]자산양수ㆍ도종료보고서,20051215000163,덕성,20051215
,E003,Y,티웨이홀딩스,A004870,자산양수ㆍ도종료보고서,20050630000409,티웨이홀딩스,20050701
,E003,Y,씨아이테크,A004920,자산양수ㆍ도종료보고서,20060116000147,씨아이테크,20060116
,E003,Y,씨아이테크,A004920,합병등종료보고서(자산양수도),20131106000098,씨아이테크,20131106
,E003,Y,롯데지주,A004990,합병등종료보고서(자산양수도),20181012000719,롯데지주,20181012
,E003,Y,부산주공,A005030,자산양수ㆍ도종료보고서,20080328000949,부산주공,20080328
,E003,Y,코스모신소재,A005070,합병등종료보고서(자산양수도),20171128000136,코스모신소재,20171128
1,E003,E,국제개발,A00508566,자산양수ㆍ도종료보고서,20061123000161,국제개발,20061123
1,E003,E,국제개발,A00508566,자산양수ㆍ도종료보고서,20061123000153,국제개발,20061123
,E003,Y,삼광글라스,A005090,자산양수ㆍ도종료보고서,20051228000251,삼광글라스,20051228
,E003,Y,한창,A005110,자산양수ㆍ도종료보고서,20060609000389,한창,20060609
,E003,Y,한창,A005110,자산양수ㆍ도종료보고서,20060830000180,한창,20060830
,E003,Y,한창,A005110,합병등종료보고서(자산양수도),20151127000799,한창,20151127
,E003,Y,동성화학,A005190,자산양수ㆍ도종료보고서,20070518000045,동성화학,20070518
,E003,Y,녹십자홀딩스,A005250,합병등종료보고서(자산양수도),20100902000275,녹십자홀딩스,20100902
,E003,Y,녹십자홀딩스,A005250,합병등종료보고서(자산양수도),20120224000331,녹십자홀딩스,20120224
,E003,K,동진쎄미켐,A005290,영업양수ㆍ도종료보고서,20080509002153,동진쎄미켐,20080509
1,E003,E,미성포리테크,A00530796,자산양수ㆍ도종료보고서,20080421000141,미성포리테크,20080421
1,E003,E,엑스씨이,A00535773,자산양수ㆍ도종료보고서,20080228000181,엑스씨이,20080228
1,E003,E,엑스씨이,A00535773,자산양수ㆍ도종료보고서,20080407002066,엑스씨이,20080407
,E003,Y,모나미,A005360,자산양수ㆍ도종료보고서,20060627000230,모나미,20060628
1,E003,E,아구스,A00537443,자산양수ㆍ도종료보고서,20080320000474,아구스,20080320
1,E003,E,아구스,A00537443,자산양수ㆍ도종료보고서,20080327000689,아구스,20080327
